review_text,rating,app_version,author,review_date
"The app keeps crashing every time I try to open the payment page. Please fix this bug ASAP!",1,"v2.4.0","John Doe","2026-07-01 10:15:00"
"Super slick interface! The dark mode looks awesome and smooth navigation.",5,"v2.4.0","Sarah Connor","2026-07-02 14:22:00"
"Extremely slow loading times after the latest v2.4 update. Takes 30 seconds just to fetch my profile.",1,"v2.4.0","Michael Scott","2026-07-03 09:45:00"
"Subscription price doubled without any new features added. Very disappointed with greedy pricing.",2,"v2.3.5","Dwight Schrute","2026-07-04 16:30:00"
"Would love to see an option to export reports in PDF format. Great app overall!",4,"v2.4.0","Pam Beesly","2026-07-05 11:10:00"
"App freezes on startup after entering password. Unusable right now.",1,"v2.4.0","Jim Halpert","2026-07-06 08:20:00"
"The new UI redesign is confusing and cluttered. Buttons are too small to tap easily.",2,"v2.4.0","Ryan Howard","2026-07-07 19:05:00"
"Best productivity tool on the Play Store! Customer support resolved my issue in 10 mins.",5,"v2.3.5","Stanley Hudson","2026-07-08 12:40:00"
"Drains my phone battery super fast even when running in the background.",2,"v2.4.0","Kevin Malone","2026-07-09 15:55:00"
"Please add dark mode toggle for tablet devices as well.",4,"v2.3.5","Angela Martin","2026-07-10 17:15:00"
"Continuous network error failed to sync data when connected to cellular data.",1,"v2.4.0","Oscar Martinez","2026-07-11 20:50:00"
"Awesome application! Helped me organize my daily workflow effortlessly.",5,"v2.4.0","Phyllis Vance","2026-07-12 13:00:00"
"Overpriced monthly plan compared to competitor apps with similar features.",2,"v2.3.5","Toby Flenderson","2026-07-13 10:05:00"
"Login button does not respond on Android 14. Completely broken after update.",1,"v2.4.0","Kelly Kapoor","2026-07-14 18:35:00"
"Love the clean animations and fast search response!",5,"v2.4.0","Andy Bernard","2026-07-15 09:25:00"
